Language	WID_PP	WID_NP
Alamblak	0.807575757575758	0.973328280608647
Alamblak	0.968804159445407	1.10322113545689
Alamblak	0.900445765230312	0.77256225811073
Alamblak	0.900445765230312	0.941886441036091
Alamblak	1.00156985871272	0.849292167526369
Alamblak	0.935018050541516	1.13977734266372
Alamblak	0.843393148450245	0.756045369673809
Alamblak	0.968804159445407	0.853455073815655
Alamblak	0.832203389830508	1.01083928221596
Alamblak	0.844911147011309	0.900202584131471
Alamblak	0.877318116975749	0.757842978482463
Alamblak	0.820979020979021	0.784550948408371
Alamblak	1.048828125	0.824653942141085
Alamblak	0.807575757575758	0.827453579425931
Alamblak	0.900445765230312	0.729709573842611
Alamblak	0.956848030018762	1.02915174451892
Alamblak	0.8140625	0.852645802468846
Alamblak	0.818181818181818	0.930763006121062
Alamblak	0.890850722311397	0.826989298493939
Alamblak	0.889279437609842	0.993715123917124
Amele	0.987632508833922	1.10547596810395
Amele	0.942342342342342	1.24023024357895
Amele	0.959001782531194	0.927383220680357
Amele	0.9812734082397	1.22841986605536
Amele	1.07183364839319	1.01508909179225
Amele	0.970856102003643	1.06053676164485
Amele	0.956026058631922	0.800237159631569
Amele	1.07183364839319	0.939746257405588
Amele	0.988372093023256	1.16551294560599
Amele	0.959001782531194	0.928804091667834
Amele	0.938814531548757	1.04037882545888
Amele	0.889645776566757	0.784968075847665
Amele	0.956026058631922	0.800237159631569
Amele	0.931552587646077	0.84966395910554
Amele	1.0298769771529	0.843371067075536
Amele	0.867430441898527	0.82617953380865
Amele	0.958813838550247	0.924541362433457
Amele	0.8128	0.936056400166274
Amele	0.931552587646077	0.800413717584125
Amele	0.942342342342342	1.0421703657774
Apurinã	1.34151329243354	1.24276725052089
Apurinã	1.19823788546256	1.43394138658943
Apurinã	1.34151329243354	1.02195828113492
Apurinã	1.22693266832918	1.70881095615426
Apurinã	1.27608695652174	1.15490466567577
Apurinã	1.25850340136054	1.39818668844313
Apurinã	1.24413145539906	1.09594601402111
Apurinã	1.38990825688073	1.14132527887963
Apurinã	1.26136363636364	1.42968847452744
Apurinã	1.24574209245742	1.24929111486701
Apurinã	1.37170263788969	1.26403087261548
Apurinã	1.27551020408163	1.40578827652639
Apurinã	1.41044776119403	1.23542645723446
Apurinã	1.45528455284553	1.23717807889266
Apurinã	1.26136363636364	1.19139799011454
Apurinã	1.34883720930233	1.30812865087576
Apurinã	1.27551020408163	1.28613079014095
Apurinã	1.25850340136054	1.38364379275383
Apurinã	1.30150753768844	1.32565616527259
Apurinã	1.34883720930233	1.31545262733999
Arabic (Egyptian)	1.83922829581994	1.88888588041748
Arabic (Egyptian)	1.68253968253968	1.91775640366655
Arabic (Egyptian)	1.75786163522013	1.61801291605789
Arabic (Egyptian)	1.7923875432526	2.285456326131
Arabic (Egyptian)	1.81911262798635	1.76257379453029
Arabic (Egyptian)	1.7	1.91660255948675
Arabic (Egyptian)	1.75342465753425	1.67873360110754
Arabic (Egyptian)	1.76689189189189	1.79896072067362
Arabic (Egyptian)	1.7037037037037	2.07564530533251
Arabic (Egyptian)	1.73793103448276	1.71673596577839
Arabic (Egyptian)	1.83922829581994	1.60623567608007
Arabic (Egyptian)	1.7	1.79503180262857
Arabic (Egyptian)	1.83922829581994	1.48515962759952
Arabic (Egyptian)	1.73793103448276	1.77206459805354
Arabic (Egyptian)	1.71080139372822	1.73168012556632
Arabic (Egyptian)	1.79037800687285	1.94118621765792
Arabic (Egyptian)	1.61263736263736	1.4099088223237
Arabic (Egyptian)	1.7484076433121	2.1350563812548
Arabic (Egyptian)	1.71043771043771	1.66322357751586
Arabic (Egyptian)	1.76978417266187	2.10181372653216
Arapesh (Mountain)	0.660933660933661	0.777238532689641
Arapesh (Mountain)	0.629404617253949	0.814395113858718
Arapesh (Mountain)	0.788121990369181	0.879277990775786
Arapesh (Mountain)	0.713147410358566	0.714969859209765
Arapesh (Mountain)	0.694158075601375	0.615708626017045
Arapesh (Mountain)	0.71048951048951	0.826831200836578
Arapesh (Mountain)	0.689461883408072	0.550676142968162
Arapesh (Mountain)	0.750588235294118	0.589228940493206
Arapesh (Mountain)	0.712041884816754	0.780666819164264
Arapesh (Mountain)	0.679144385026738	0.661019985874313
Arapesh (Mountain)	0.700133868808568	0.770203693553079
Arapesh (Mountain)	0.700133868808568	0.813035618582955
Arapesh (Mountain)	0.740740740740741	0.639335967826739
Arapesh (Mountain)	0.741978609625668	0.767065261399083
Arapesh (Mountain)	0.787531806615776	0.527155955111078
Arapesh (Mountain)	0.754957507082153	0.773540173401012
Arapesh (Mountain)	0.679314565483476	0.646676378927204
Arapesh (Mountain)	0.66626936829559	0.677513981869019
Arapesh (Mountain)	0.788121990369181	0.856316788008898
Arapesh (Mountain)	0.741839762611276	0.778659553929629
Barasano	0.804941482444733	0.693705918393552
Barasano	0.878648233486943	0.968683382520207
Barasano	0.852484472049689	0.902547194581679
Barasano	0.924956369982548	1.03892727547634
Barasano	0.692957746478873	0.818381712815091
Barasano	0.821036106750393	1.01800675095639
Barasano	0.893895348837209	0.793829769380119
Barasano	0.755704697986577	0.627998658317178
Barasano	0.840579710144927	0.860040436291014
Barasano	0.696765498652291	0.654252311344215
Barasano	0.78237650200267	0.701443622004631
Barasano	0.874811463046757	0.836387676504548
Barasano	0.750764525993884	0.769270914091477
Barasano	0.752393980848153	0.748204916420419
Barasano	0.874811463046757	0.723702421762068
Barasano	0.753012048192771	0.785985761870989
Barasano	0.765119549929676	0.739124746702909
Barasano	0.798053527980535	0.701218583230899
Barasano	0.692957746478873	0.770944727191642
Barasano	0.808695652173913	0.741736555909952
Basque	1.46236559139785	1.7201711637818
Basque	1.51639344262295	1.87603605291281
Basque	1.4475138121547	1.48632731974228
Basque	1.43589743589744	1.72661121840978
Basque	1.43356643356643	1.37649744453949
Basque	1.57575757575758	1.63663186582299
Basque	1.48247978436658	1.36347488548426
Basque	1.46842105263158	1.23992913973022
Basque	1.48247978436658	1.61630830582727
Basque	1.41379310344828	1.61755470547696
Basque	1.51081081081081	1.37738538751432
Basque	1.53235294117647	1.75430256002835
Basque	1.50777202072539	1.39194605878667
Basque	1.37362637362637	1.43377622495147
Basque	1.45454545454545	1.37567067639751
Basque	1.50842696629213	1.28235593008817
Basque	1.48247978436658	1.42413929319071
Basque	1.53235294117647	1.85363213368012
Basque	1.43589743589744	1.37923337273472
Basque	1.57920792079208	1.34660412671912
Burmese	0.685871056241427	0.842114088574664
Burmese	0.727148703956344	0.843139250346755
Burmese	0.675544794188862	0.596009307836268
Burmese	0.685785536159601	0.804243748536932
Burmese	0.674242424242424	0.72829886224985
Burmese	0.738571428571429	0.807068351083897
Burmese	0.705459770114943	0.752539078341608
Burmese	0.760059612518629	0.756816422338384
Burmese	0.716378162450067	0.785205381789199
Burmese	0.746736292428198	0.631605048478103
Burmese	0.747770700636943	0.676945275510644
Burmese	0.755029585798817	0.676025484807474
Burmese	0.724093264248705	0.637258814700328
Burmese	0.674242424242424	0.72829886224985
Burmese	0.681063122923588	0.537360667475605
Burmese	0.699861687413555	0.777698235883842
Burmese	0.743767313019391	0.610815190505872
Burmese	0.705459770114943	0.907795901568656
Burmese	0.719543147208122	0.641949613314088
Burmese	0.791784702549575	0.725701462732025
Chamorro	1.05128205128205	1.06791782489828
Chamorro	0.994915254237288	1.07755713926662
Chamorro	1.04911591355599	1.09616542871159
Chamorro	1.02234636871508	1.31961292170591
Chamorro	1.0391061452514	0.947762963695006
Chamorro	1.10040983606557	1.0546828955758
Chamorro	1.02719665271967	1.05251710840131
Chamorro	1.06716417910448	0.910156635528945
Chamorro	1.01234567901235	1.31080526000666
Chamorro	1.04911591355599	1.09784489586217
Chamorro	1.04911591355599	1.13353851637759
Chamorro	1.09193245778612	1.15086030122847
Chamorro	1.05128205128205	0.839663452183932
Chamorro	1.02016129032258	1.13362061400004
Chamorro	1.04237288135593	0.914442319828229
Chamorro	1.02857142857143	1.04877292537863
Chamorro	1.07798960138648	0.855189090208874
Chamorro	1.02719665271967	1.26966259272967
Chamorro	1.10040983606557	0.881264116222117
Chamorro	1.06716417910448	0.988631515334807
Daga	0.841040462427746	0.987497946527147
Daga	0.922818791946309	1.09819642996764
Daga	0.902654867256637	0.939111688633107
Daga	0.905158069883527	1.06745249141577
Daga	0.947565543071161	1.05295098229217
Daga	0.922818791946309	1.03460558199285
Daga	0.928571428571429	0.782752694415337
Daga	1	0.838255435074401
Daga	0.861386138613861	0.915901938807888
Daga	0.905158069883527	0.876896595637905
Daga	0.947994056463596	0.804082736136342
Daga	0.861386138613861	0.882088224817866
Daga	0.861386138613861	0.77263062166331
Daga	0.906574394463668	0.962356806613261
Daga	0.922818791946309	0.838430949961862
Daga	0.945288753799392	0.776289348451129
Daga	0.947565543071161	1.01717715636571
Daga	0.892282958199357	1.02916689196773
Daga	0.929003021148036	0.75576597368904
Daga	0.823825503355705	0.917809265734839
English	1	1
English	1	1
English	1	1
English	1	1
English	1	1
English	1	1
English	1	1
English	1	1
English	1	1
English	1	1
English	1	1
English	1	1
English	1	1
English	1	1
English	1	1
English	1	1
English	1	1
English	1	1
English	1	1
English	1	1
Fijian	0.832236842105263	1.08783126125822
Fijian	0.791730474732006	0.918333412720632
Fijian	0.834328358208955	0.735566957695518
Fijian	0.787234042553192	0.914862066719361
Fijian	0.75	0.727364637771436
Fijian	0.813775510204082	0.777971398765814
Fijian	0.810810810810811	0.806564486882649
Fijian	0.821070234113712	0.876719040894485
Fijian	0.813333333333333	0.976007431827088
Fijian	0.886486486486487	0.676355759573169
Fijian	0.787234042553192	0.775980385931145
Fijian	0.793214862681745	0.92791141975235
Fijian	0.796195652173913	0.66002538811995
Fijian	0.827540106951872	0.606295630607449
Fijian	0.827785817655572	0.660310168627371
Fijian	0.813186813186813	0.879239538205208
Fijian	0.836902800658979	0.83452530292539
Fijian	0.819505094614265	0.820718241143365
Fijian	0.810810810810811	0.821529767414884
Fijian	0.791730474732006	0.771679189082556
Finnish	1.41091954022989	1.91421906861199
Finnish	1.3489010989011	1.78838455985056
Finnish	1.4043583535109	1.26770090519733
Finnish	1.47953216374269	1.93886438227335
Finnish	1.34229828850856	1.46917459434972
Finnish	1.50259067357513	1.53388840785799
Finnish	1.4043583535109	1.21210668960856
Finnish	1.44054054054054	1.29216998565266
Finnish	1.48104956268222	1.67612273010958
Finnish	1.4030612244898	1.35168602560971
Finnish	1.45530726256983	1.57832491538091
Finnish	1.44692737430168	1.65191174573239
Finnish	1.47030878859857	0.996292952768658
Finnish	1.41091954022989	1.6273311396417
Finnish	1.38983050847458	1.49963866648684
Finnish	1.49855072463768	1.4524664831119
Finnish	1.49855072463768	1.40311918774421
Finnish	1.46368715083799	1.7334974717308
Finnish	1.42857142857143	1.40469501141307
Finnish	1.34517766497462	1.28838059705834
French	1.03069466882068	1.02806744154538
French	0.963671128107075	1.17588326933362
French	1.0152380952381	1.00620701637327
French	1.03942652329749	1.10991023480922
French	1.00361663652803	0.98899814913127
French	0.963671128107075	1.10779398022667
French	1.05233644859813	0.873650803366829
French	1.07721280602637	0.870687538692173
French	1.05233644859813	1.03565460934247
French	1.08518518518519	0.942292065266409
French	1.07933884297521	0.902170671684646
French	1.0152380952381	1.0983771692741
French	1.05222437137331	0.973176189347907
French	1.04948805460751	1.00770888004683
French	0.994652406417112	0.828870693847927
French	1.01268115942029	0.963631428945909
French	1.01912045889101	0.95389744284122
French	1.06029106029106	1.27234188919871
French	1.08518518518519	0.916281470113363
French	1.02091254752852	0.87276554575252
Georgian	1.51860465116279	1.49269843055853
Georgian	1.39946380697051	1.62420537630296
Georgian	1.44875346260388	1.54119934700125
Georgian	1.47175141242938	1.88183288538885
Georgian	1.44743935309973	1.23050865528677
Georgian	1.3936170212766	1.66785871371308
Georgian	1.39946380697051	1.25526583573181
Georgian	1.51860465116279	1.17479696771598
Georgian	1.47482014388489	1.55259014941749
Georgian	1.51860465116279	1.22936354125993
Georgian	1.40389972144847	1.43186591019151
Georgian	1.41111111111111	1.49696951865486
Georgian	1.43989769820972	1.19540455192136
Georgian	1.43148688046647	1.58591469236643
Georgian	1.3659793814433	1.18866518772212
Georgian	1.43148688046647	1.58591469236643
Georgian	1.41588785046729	1.21320490348217
Georgian	1.51860465116279	1.41578938352292
Georgian	1.42782152230971	1.34505873818826
Georgian	1.40389972144847	1.43948735317408
German	1.08411214953271	1.15467522832442
German	1.0281124497992	1.2736219251629
German	1.04078014184397	0.911137525984882
German	1.09532710280374	1.15777904015179
German	1.05492730210016	0.881524078743353
German	1.03578528827038	1.26612138896297
German	1.04323308270677	0.997482760472588
German	1.09532710280374	0.908883040095297
German	1.09578544061303	1.10678728735125
German	1.09578544061303	0.977975418188285
German	1.05993150684932	0.776769992558931
German	1.06401384083045	1.07876808432782
German	1.10382513661202	0.905524604447418
German	1.06427221172023	0.955328804800824
German	1.05492730210016	0.805396626600404
German	1.05646630236794	0.985905835978637
German	1.04609218436874	0.980052456041271
German	1.01908396946565	1.22813414107882
German	1.11149825783972	0.887875321672568
German	1.06034482758621	0.920820034353818
Greek (Modern)	1.21062992125984	1.36736573485847
Greek (Modern)	1.17400881057269	1.43952785991447
Greek (Modern)	1.13963039014374	1.08630235032438
Greek (Modern)	1.24714828897338	1.15830075494122
Greek (Modern)	1.19464720194647	1.32352491358074
Greek (Modern)	1.23552894211577	1.02054333985681
Greek (Modern)	1.16086956521739	1.15973856567795
Greek (Modern)	1.16525423728814	1.07275952637101
Greek (Modern)	1.21442885771543	1.18099787416415
Greek (Modern)	1.21062992125984	1.12614145469029
Greek (Modern)	1.2085308056872	1.30020976505245
Greek (Modern)	1.18313253012048	1.44088827763925
Greek (Modern)	1.18181818181818	0.996230701983156
Greek (Modern)	1.12050739957717	1.06722134282682
Greek (Modern)	1.18371607515658	1.0242357872245
Greek (Modern)	1.16628701594533	1.20730499243803
Greek (Modern)	1.15051546391753	1.01372632540539
Greek (Modern)	1.21062992125984	1.16642431560295
Greek (Modern)	1.18181818181818	1.01471511602874
Greek (Modern)	1.21442885771543	1.08321256997571
Greenlandic (West)	2.33175355450237	3.23927271535609
Greenlandic (West)	2.45384615384615	2.49006999994651
Greenlandic (West)	2.43347639484979	2.22927159374116
Greenlandic (West)	2.56502242152466	2.6410077185072
Greenlandic (West)	2.60089686098655	2.3550116753764
Greenlandic (West)	2.47926267281106	2.79438623560357
Greenlandic (West)	2.4780487804878	2.30261584546941
Greenlandic (West)	2.51821862348178	1.91451604986508
Greenlandic (West)	2.40540540540541	2.84866918941805
Greenlandic (West)	2.32751091703057	2.18475832655164
Greenlandic (West)	2.64516129032258	2.08377357371576
Greenlandic (West)	2.47926267281106	2.6171373594947
Greenlandic (West)	2.3719806763285	2.53027632138048
Greenlandic (West)	2.4037558685446	2.48829526610467
Greenlandic (West)	2.4780487804878	2.27464694347368
Greenlandic (West)	2.56502242152466	2.23947151583384
Greenlandic (West)	2.48444444444444	2.28378891125556
Greenlandic (West)	2.52525252525253	2.9407617870492
Greenlandic (West)	2.37899543378995	2.42987201649597
Greenlandic (West)	2.37899543378995	2.59382593454933
Guaraní	1.37610619469027	1.32931158375247
Guaraní	1.34570765661253	1.50286117298012
