Language	Glottocode	Exponence	Strategy	Fusion	VerbInflection	SyllableStructure	TonalSystem	Macroarea	Latitude	Longitude	GMC_W	GMC_A	WID	MTLD	TTR	H	IWI	LEX	MarkSize	MarkShape	MarkColor	DistColor	BibleFile
Alamblak	alam1246	MonoV	Morph	Concatenative	Mid High	Complex	No tones	Papunesia	-4.66307	143.316	-0.474230769230769	11	0.884452025015886	103.615823712928	0.203371124711548	9.97006624705577	1.00754539819715	0.891125567730907	5	16	#E69F00	#8CAF5F	clean_amp-x-bible.txt
Amele	amel1241	MonoV	Balanced	Concatenative	Mid High	Moderately complex	No tones	Papunesia	-5.29126	145.687	-0.561785714285714	7	0.961532867946481	70.3681703178756	0.134235020360675	9.12226712356788	1.14835030086798	1.10417655820079	5	16	#E69F00	#A6D1D3	clean_aey-x-bible.txt
Apurinã	apur1254	MonoV	Balanced	Concatenative	Mid High	Simple	No tones	South America	-8.21692	-66.7714	-0.541071428571429	7	1.27900565846109	84.3140640690188	0.205348938434009	9.70947900640014	0.816856399847116	1.04476395755462	5	16	#E69F00	#E6A1E1	clean_apu-x-bible.txt
Arabic (Egyptian)	egyp1253	Poly	Morph	Other	Mid High	Complex	No tones	Africa	31	31	-0.424827586206897	7	1.75173875604425	469.1908791748	0.353580181493012	10.883856040984	0.547741033100989	0.959499195958719	5	15	#999999	#DE906C	clean_arz-x-bible.txt
Arapesh (Mountain)	buki1249	MonoV	Balanced	Concatenative	Mid High	Moderately complex	No tones	Papunesia	-3.47169	143.111	-0.53695652173913	5	0.726039807824296	63.647650718355	0.119341111873713	8.94098081464745	1.39835517743885	1.01526152429781	5	16	#E69F00	#E7B8C6	clean_ape-x-bible.txt
Barasano	bara1380	MonoVN	Balanced	Concatenative	Mid High	Simple	Simple tone system	South America	0.02193	-70.808	-0.535185185185185	4	0.810505991602562	58.6961922480563	0.146893867418554	8.9255435904798	1.3594710811337	1.10185945666928	5	17	#E69F00	#E5C36E	clean_bsn-x-bible.txt
Basque	basq1248	MonoVN	Morph	Concatenative	Mid High	Complex	No tones	Eurasia	43.2787	-1.31622	-0.336896551724138	4	1.48832235916484	227.098448101608	0.224660926332377	10.0714070505793	0.628463006852688	0.935355545006822	5	17	#E69F00	#C94258	clean_eus-x-bible-batua.txt
Burmese	nucl1310	MonoVN	Lexical	Concatenative	Low	Moderately complex	Complex tone system	Eurasia	20.7926	93.9665	-0.751851851851852	3	0.717549381376167	65.2014780233138	0.0618081180811808	8.35418480633562	1.49844957751817	1.07521156737154	3	17	#E69F00	#E3C09B	clean_mya-x-bible-common.txt
Chamorro	cham1312	Poly	Balanced	Other	Mid High	Moderately complex	No tones	Papunesia	13.438011	144.74474	-0.573076923076923	6	1.05509674845402	57.2805644990317	0.130700179533214	8.50213502812007	0.916916690296203	0.967435818534745	5	15	#999999	#EAEBAB	clean_cha-x-bible-2003.txt
Daga	daga1275	Poly	Morph	Concatenative	Mid High	Moderately complex	No tones	Papunesia	-9.9747	149.263	-0.418333333333333	9	0.899738032864968	90.1081855424053	0.0950226244343891	9.00686926721289	1.05543492028038	0.949614938990064	5	15	#E69F00	#913BE7	clean_dgz-x-bible.txt
English	stan1293	MonoV	Lexical	Concatenative	Low	Complex	No tones	Eurasia	53	-1	-0.692068965517241	2	1	51.3020832549353	0.0824699387430991	8.16221694669018	1	1	3	16	#E69F00	#C7DDB9	clean_eng-x-bible-kingjames.txt
